id,longitude,latitude,elevation,title,place_description,sig,mag,magType,time,updated,country_code,sig_class
ci41148463,-117.8341667,34.068,10.9,"M 1.1 - 4 km SSE of Charter Oak, CA","4 km SSE of Charter Oak, CA",18,1.08,ml,53:02.2,56:43.0,US,Low
nc75287806,-121.94133,37.76100159,7.53000021,"M 1.9 - 4 km ESE of San Ramon, CA","4 km ESE of San Ramon, CA",55,1.88,md,47:48.3,07:17.8,US,Low
ci41148455,-116.7615,34.01333333,13.34,"M 1.1 - 11 km NNE of Cabazon, CA","11 km NNE of Cabazon, CA",17,1.06,ml,47:20.5,51:05.1,US,Low
nc75287801,-122.8195038,38.81116486,2.809999943,"M 0.8 - 7 km NW of The Geysers, CA","7 km NW of The Geysers, CA",9,0.76,md,46:10.2,47:49.3,US,Low
ak2025zomjgb,-151.744,57.959,7.3,"M 3.4 - 43 km ENE of Kodiak, Alaska","43 km ENE of Kodiak, Alaska",178,3.4,ml,44:27.8,20:35.0,US,Moderate
ci41148447,-120.057,33.8185,8.53,"M 2.5 - 15 km SSE of Santa Rosa Is., CA","15 km SSE of Santa Rosa Is., CA",99,2.54,ml,44:13.8,15:43.0,US,Low
nc75287781,-122.8209991,38.83200073,1.870000005,"M 0.7 - 8 km NW of The Geysers, CA","8 km NW of The Geysers, CA",7,0.69,md,43:13.0,44:49.7,US,Low
uw62212087,-122.199501,46.27716827,3.119999886,"M 0.8 - 31 km S of Morton, Washington","31 km S of Morton, Washington",9,0.769999981,md,42:42.8,44:22.9,US,Low
nc75287776,-122.8188324,38.83000183,1.629999995,"M 1.0 - 8 km NW of The Geysers, CA","8 km NW of The Geysers, CA",16,1.03,md,41:53.6,43:29.6,US,Low
ci41148431,-117.6478333,33.8185,4.22,"M 1.8 - 9 km SW of Corona, CA","9 km SW of Corona, CA",52,1.83,ml,37:17.1,48:10.1,US,Low
ci41148439,-117.8466644,33.96633148,10.98999977,"M 1.2 - 6 km ESE of Rowland Heights, CA","6 km ESE of Rowland Heights, CA",23,1.223720445,ml,37:13.5,39:17.6,US,Low
ci41148423,-117.636,33.844,9.11,"M 1.5 - 7 km WSW of Corona, CA","7 km WSW of Corona, CA",36,1.53,ml,34:18.2,45:07.4,US,Low
us7000rl9j,-79.0291,-9.0299,68.378,"M 5.0 - 42 km W of Puerto Santa, Peru","42 km W of Puerto Santa, Peru",386,5,mb,19:55.5,24:29.9,PE,Moderate
ak2025zoljqq,-151.797,57.966,11.9,"M 2.9 - 41 km ENE of Kodiak, Alaska","41 km ENE of Kodiak, Alaska",129,2.9,ml,14:31.2,00:42.0,US,Moderate
uu80126381,-112.5586667,38.59916667,-0.24,"M 2.3 - 24 km SSW of Kanosh, Utah","24 km SSW of Kanosh, Utah",82,2.31,ml,56:02.0,30:50.8,US,Low
ak2025zokppc,-151.758,57.944,10.6,"M 3.1 - 42 km ENE of Kodiak, Alaska","42 km ENE of Kodiak, Alaska",148,3.1,ml,51:30.0,51:37.0,US,Moderate
tx2025zokjaj,-104.259,31.627,7.3816,"M 1.5 - 56 km NW of Toyah, Texas","56 km NW of Toyah, Texas",35,1.5,ml,44:12.5,17:09.8,US,Low
hv74863017,-155.4306641,19.30033302,28.87999916,"M 2.1 - 11 km NNE of P?hala, Hawaii","11 km NNE of P?hala, Hawaii",70,2.13,ml,20:09.2,23:30.1,US,Low
ci41148399,-116.371,33.38983333,1.77,"M 1.4 - 15 km N of Borrego Springs, CA","15 km N of Borrego Springs, CA",28,1.36,ml,18:11.0,21:55.7,US,Low
tx2025zojcow,-103.81,30.982,7.5685,"M 1.5 - 6 km W of Balmorhea, Texas","6 km W of Balmorhea, Texas",35,1.5,ml,06:14.6,10:11.2,US,Low
uw62212067,-122.1875,46.191,-0.03,"M 0.9 - 37 km NNE of Amboy, Washington","37 km NNE of Amboy, Washington",11,0.85,ml,04:58.9,55:43.2,US,Low
ak2025zoihti,-152.703,59.6,80.6,"M 2.7 - 51 km WNW of Nanwalek, Alaska","51 km WNW of Nanwalek, Alaska",112,2.7,ml,42:59.3,44:28.8,US,Moderate
ak2025zoibjj,-149.593,60.834,37.1,"M 1.9 - 9 km SSE of Hope, Alaska","9 km SSE of Hope, Alaska",56,1.9,ml,34:39.9,37:36.8,US,Low
nc75287716,-120.5741653,36.01050186,2.670000076,"M 1.5 - 18 km NW of Parkfield, CA","18 km NW of Parkfield, CA",36,1.54,md,23:07.7,07:19.7,US,Low
ci41148391,-115.2388333,32.5645,16.1,"M 1.7 - 11 km E of Puebla, B.C., MX","11 km E of Puebla, B.C., MX",46,1.72,ml,16:35.3,20:16.6,MX,Low
nc75287706,-122.7366638,38.79083252,1.320000052,"M 1.3 - 2 km NE of The Geysers, CA","2 km NE of The Geysers, CA",27,1.32,md,14:21.6,52:18.5,US,Low
tx2025zohicr,-104.374,31.667,7.0227,"M 2.2 - 56 km S of Whites City, New Mexico","56 km S of Whites City, New Mexico",74,2.2,ml,13:11.0,06:32.7,US,Low
nc75287696,-122.7833328,38.79716492,3.200000048,"M 1.1 - 3 km NW of The Geysers, CA","3 km NW of The Geysers, CA",18,1.07,md,10:55.3,27:19.4,US,Low
ci41148375,-117.0966667,34.26733333,7.77,"M 1.0 - 7 km N of Running Springs, CA","7 km N of Running Springs, CA",16,1.03,ml,02:53.1,06:34.8,US,Low
nc75287691,-121.935997,37.75450134,6.869999886,"M 2.2 - 5 km SE of San Ramon, CA","5 km SE of San Ramon, CA",72,2.16,md,50:21.1,52:19.4,US,Low
ci41148367,-119.0348333,34.83516667,11.27,"M 2.4 - 8 km W of Frazier Park, CA","8 km W of Frazier Park, CA",89,2.4,ml,47:42.1,19:31.1,US,Low
nc75287681,-122.6096649,38.39883423,0.689999998,"M 2.0 - 6 km WSW of Kenwood, CA","6 km WSW of Kenwood, CA",63,2.02,md,45:17.6,22:17.2,US,Low
ci41148359,-116.7285,33.23183333,12.25,"M 0.6 - 3 km ESE of Lake Henshaw, CA","3 km ESE of Lake Henshaw, CA",5,0.57,ml,41:48.1,45:28.3,US,Low
ci41148351,-116.7411667,33.234,10.26,"M 2.0 - 2 km ESE of Lake Henshaw, CA","2 km ESE of Lake Henshaw, CA",63,2.02,ml,39:22.6,50:35.6,US,Low
ak2025zofqre,-146.902,64.481,5,"M 1.7 - 4 km S of Salcha, Alaska","4 km S of Salcha, Alaska",44,1.7,ml,21:54.2,23:50.4,US,Low
nc75287656,-121.940834,37.75350189,7.159999847,"M 2.3 - 4 km SE of San Ramon, CA","4 km SE of San Ramon, CA",83,2.32,md,05:52.8,27:19.8,US,Low
